title,type,country,release_year,rating
Chef & My Fridge,1,394,0.23616699168720753,10
Chef's Table,1,549,0.8408163119785221,9
Chef's Table: BBQ,1,549,1.1431409721241794,7
Chef's Table: France,1,669,-0.0661576684584498,7
Chelsea,1,549,0.23616699168720753,9
Chelsea Does,1,549,-0.0661576684584498,9
60 Days In,1,549,0.8408163119785221,9
Chelsea Handler: Uganda Be Kidding Me Live,0,549,-0.6708069887497644,9
Chelsea Peretti: One of the Greats,0,549,-0.6708069887497644,9
Chennai Express,0,229,-0.9731316488954218,7
Chernobyl Diaries,0,549,-1.275456309041079,6
Cheuk Wan-Chi: Two Night Stand,1,669,-0.3684823286041071,9
Chewing Gum,1,462,0.23616699168720753,9
Chhota Bheem,1,229,0.8408163119785221,11
Chhota Bheem and the Curse of Damyaan,0,229,-1.275456309041079,12
Chhota Bheem Aur Kaala Yodha,0,669,0.5384916518328648,12
68 Kill,0,549,0.23616699168720753,6
Chhota Bheem Ka Romani Adventure,0,669,0.5384916518328648,12
Chhota Bheem Ka Troll Se Takkar,0,669,0.5384916518328648,12
Chhota Bheem Kung Fu Dhamaka Series,1,669,0.8408163119785221,12
Chhota Bheem Kungfu Dhamaka,0,229,0.8408163119785221,12
Chicago Typewriter,1,394,0.23616699168720753,7
Chicken Kokkachi,0,229,0.23616699168720753,7
Chicken Soup for the Soul's Being Dad,1,549,0.5384916518328648,9
Chico Bon Bon and the Very Berry Holiday,0,669,1.1431409721241794,11
Chico Bon Bon: Monkey with a Tool Belt,1,549,1.1431409721241794,11
7 (Seven),1,229,0.8408163119785221,7
Chief Daddy,0,330,0.5384916518328648,9
Chief of Staff,1,394,0.8408163119785221,7
Children of Adam,1,299,1.1431409721241794,7
Children of the Sea,0,291,0.8408163119785221,10
Children of the Whales,1,291,0.23616699168720753,7
Chillar Party,0,229,-1.5777809691867364,10
Chilling Adventures of Sabrina,1,549,1.1431409721241794,7
7 años,0,403,-0.0661576684584498,9
China Salesman,0,94,0.23616699168720753,9
Chingo Bling: They Can't Deport Us All,0,669,0.23616699168720753,9
Chip and Potato,1,469,0.8408163119785221,11
Chippa,0,229,1.1431409721241794,7
Chittagong,0,612,-1.275456309041079,2
Chloe,0,568,-2.182430289478051,6
Chocolate,1,394,0.8408163119785221,7
Chocolate City: Vegas Strip,0,549,0.23616699168720753,9
Choked: Paisa Bolta Hai,0,229,1.1431409721241794,7
7 Days Out,1,549,0.5384916518328648,10
Chopsticks,0,229,0.8408163119785221,9
Chosen,1,94,0.8408163119785221,7
Chris Brown: Welcome to My Life,0,549,0.23616699168720753,9
Chris D'Elia: Incorrigible,0,549,-0.3684823286041071,9
Chris D'Elia: Man on Fire,0,549,0.23616699168720753,9
Chris D'Elia: No Pain,0,549,1.1431409721241794,9
Chris Rock Total Blackout: The Tamborine Extended Cut,0,669,1.4454656322698367,9
Chris Rock: Tamborine,0,549,0.5384916518328648,9
Chris Tucker Live,0,549,-0.3684823286041071,9
Christian Mingle,0,549,-0.6708069887497644,4
7 Din Mohabbat In,0,342,0.5384916518328648,10
Christiane Amanpour: Sex & Love Around the World,1,549,0.5384916518328648,9
Christina P: Mother Inferior,0,549,0.23616699168720753,9
Christine,0,537,-0.0661576684584498,6
Christmas Break-In,0,549,0.8408163119785221,10
Christmas Crossfire,0,193,1.1431409721241794,9
Christmas Crush,0,78,-1.275456309041079,10
Christmas in the Heartland,0,549,0.23616699168720753,10
Christmas in the Smokies,0,549,-0.3684823286041071,8
Christmas Inheritance,0,549,0.23616699168720753,8
Christmas Survival,0,462,0.5384916518328648,9
7 Khoon Maaf,0,229,-1.5777809691867364,9
Christmas Wedding Planner,0,51,0.23616699168720753,4
Christmas with a Prince,0,51,0.5384916518328648,10
Christmas With A View,0,51,0.5384916518328648,10
Christopher Robin,0,549,0.5384916518328648,4
Chronically Metropolitan,0,549,-0.0661576684584498,9
Chronicle of an Escape,0,0,-3.089404269915023,6
"ChuChu TV Kids Songs, Learning Videos & Bedtime Stories",1,669,0.8408163119785221,11
ChuChu TV Nursery Rhymes & Kids Songs (Hindi),1,229,0.8408163119785221,11
ChuChuTV Bedtime Stories & Moral Stories for Kids (English),0,669,0.8408163119785221,11
72 Cutest Animals,1,12,-0.0661576684584498,10
ChuChuTV Bedtime Stories & Moral Stories for Kids (Hindi),0,669,0.8408163119785221,11
ChuChuTV Surprise Eggs Learning Videos (English),0,669,0.8408163119785221,11
ChuChuTV Surprise Eggs Learning Videos (Hindi),0,669,0.8408163119785221,11
Chuck Chicken,1,305,0.23616699168720753,12
Chup Chup Ke,0,229,-3.089404269915023,10
Chupan Chupai,0,342,0.23616699168720753,7
Churchill’s Secret Agents: The New Recruits,1,462,0.5384916518328648,9
CIA: Comrade in America,0,229,0.23616699168720753,7
Cinar Agaci,0,448,-1.5777809691867364,7
72 Dangerous Animals: Asia,1,12,0.5384916518328648,7
Cinderella and the Four Knights,1,394,-0.0661576684584498,10
Cinta 100KG,1,669,-0.0661576684584498,7
Cinta Iris,1,669,-0.3684823286041071,10
Cinta Si Wedding Planner,1,669,-0.3684823286041071,7
Cinta Teruna Kimchi,1,669,-0.0661576684584498,10
Circle,0,549,-0.3684823286041071,9
Circus of Books,0,549,1.1431409721241794,9
Cirque du Freak: The Vampire's Assistant,0,549,-2.182430289478051,5
Citation,0,330,1.1431409721241794,9
Cities of Last Things,0,441,0.5384916518328648,9
"2,215",0,444,0.5384916518328648,9
72 Dangerous Animals: Latin America,1,26,0.23616699168720753,7
City in the Sky,1,462,-0.0661576684584498,10
City of God: 10 Years Later,0,39,-0.9731316488954218,9
City of Joy,0,550,0.5384916518328648,9
City of Tiny Lights,0,462,-0.0661576684584498,9
Civilizations,1,462,0.5384916518328648,7
Clair Obscur,0,450,-0.0661576684584498,9
CLANNAD,1,291,-2.4847549496237082,10
Clarence Clemons: Who Do I Think I Am?,0,549,0.8408163119785221,9
Clash of the Titans,0,654,-1.8801056293323937,5
72 Dangerous Places to Live,1,12,-0.0661576684584498,10
Class of '83,0,229,1.1431409721241794,7
Class Rank,0,549,0.5384916518328648,9
Classic Legends,1,229,-1.275456309041079,10
Cleo & Cuquin,1,403,1.1431409721241794,11
Cleverman,1,20,0.23616699168720753,9
Click,0,549,-3.089404269915023,5
Click for Murder,1,462,0.23616699168720753,7
Clinical,0,549,0.23616699168720753,9
7SEEDS,1,669,1.1431409721241794,9
Clive Davis: The Soundtrack of Our Lives,0,549,0.23616699168720753,9
Close,0,537,0.8408163119785221,9
Close Enemies,0,150,0.5384916518328648,9
Close Your Eyes Before It’s Dark,1,439,-0.0661576684584498,7
Closed Circuit,0,537,-0.9731316488954218,6
Cloud Atlas,0,211,-1.275456309041079,6
Clouds of Sils Maria,0,167,-0.6708069887497644,6
Cloudy with a Chance of Meatballs,0,549,-2.182430289478051,4
Cloudy with a Chance of Meatballs 2,0,549,-0.9731316488954218,4
Cloverfield,0,549,-2.4847549496237082,5
9 Months That Made You,1,549,-0.0661576684584498,10
"Club de Cuervos Presents: I, Potro",0,309,0.5384916518328648,9
Club de Cuervos Presents: The Ballad of Hugo Sánchez,1,549,0.5384916518328648,9
Club Friday The Series 6,1,669,-0.3684823286041071,9
Club Friday The Series 7,1,669,-0.0661576684584498,9
Club Friday The Series 8,1,669,0.23616699168720753,9
Club Friday To Be Continued - Friend & Enemy,1,669,-0.0661576684584498,9
Club Friday To Be Continued - My Beautiful Tomboy,1,669,-0.0661576684584498,9
Club Friday To Be Continued - The Promise,1,669,-0.0661576684584498,9
Club of Crows,1,308,0.8408163119785221,9
90 ML,0,229,0.8408163119785221,9
Coach Snoop,1,549,0.5384916518328648,9
Cobra Kai,1,549,1.4454656322698367,7
Cocaine Coast,1,403,0.5384916518328648,9
Coco y Raulito: Carrusel de ternura,0,308,0.5384916518328648,9
Cocomelon,1,549,1.1431409721241794,11
Cocomong,1,549,-0.3684823286041071,11
Code 8,0,51,0.8408163119785221,9
Code Geass: Lelouch of the Rebellion,1,291,-2.4847549496237082,9
Code Lyoko,1,150,-2.7870796097693655,12
93 Days,0,330,-0.0661576684584498,10
Code Name: The Cleaner,0,549,-2.7870796097693655,5
Coffee & Kareem,0,549,1.1431409721241794,9
Coffee for All,0,289,0.23616699168720753,10
Coffee with D,0,229,0.23616699168720753,10
Coin Heist,0,549,0.23616699168720753,7
Cold Case Files,1,549,0.23616699168720753,7
Cold Feet,0,330,0.8408163119785221,7
Cold Harbour,0,386,-0.9731316488954218,9
Colin Quinn: Red State Blue State,0,669,0.8408163119785221,7
A 2nd Chance,0,12,-1.5777809691867364,4
Colin Quinn: The New York Story,0,549,-0.0661576684584498,9
Colin Quinn: Unconstitutional,0,549,-0.3684823286041071,9
Colkatay Columbus,0,229,-0.0661576684584498,7
Collateral,1,537,0.5384916518328648,9
College Romance,1,229,0.5384916518328648,9
Colonia,0,200,-0.3684823286041071,6
Colony,1,549,0.5384916518328648,7
Color of Woman,1,394,-1.275456309041079,10
Colours of Passion,0,229,-2.4847549496237082,7
Come and Find Me,0,84,-0.0661576684584498,6
A 3 Minute Hug,0,314,0.8408163119785221,10
Come Sunday,0,549,0.5384916518328648,7
Comedians in Cars Getting Coffee,1,549,0.8408163119785221,7
COMEDIANS of the world,1,549,0.8408163119785221,9
Comedy Bang! Bang!,1,549,-0.0661576684584498,7
Comedy High School,1,669,0.5384916518328648,7
Command and Control,0,549,0.23616699168720753,10
Community,1,549,-0.3684823286041071,7
Como caído del cielo,0,308,0.8408163119785221,7
Compulsion,0,471,-0.0661576684584498,9
A Babysitter's Guide to Monster Hunting,0,549,1.1431409721241794,10
Conan Without Borders,1,549,0.5384916518328648,7
Concrete Football,0,117,-0.0661576684584498,9
Concussion,0,549,-0.9731316488954218,6
Conjuring Spirit,0,679,-0.6708069887497644,9
Connected,1,462,1.1431409721241794,7
Conor McGregor: Notorious,0,256,0.23616699168720753,6
Consequences,0,448,-0.6708069887497644,9
Consequences ,0,448,-0.6708069887497644,9
Conspiracy,1,462,-0.3684823286041071,7
Containment,1,549,-0.0661576684584498,9
A Bad Moms Christmas,0,576,0.23616699168720753,6
Contract,0,229,-2.4847549496237082,7
Control Z,1,308,1.1431409721241794,9
